[START] 'DTD LIVE Table_0924.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0924_mp4_2025-06-27T05:14:10.539Z)
Time: 213.00s | Score: 113.46 | Status: 선명
Time: 213.50s | Score: 107.38 | Status: 선명
Time: 214.00s | Score: 79.63 | Status: 선명
Time: 214.50s | Score: 89.93 | Status: 선명
Time: 215.00s | Score: 23.00 | Status: 흐림
Time: 215.50s | Score: 78.24 | Status: 선명
Time: 216.00s | Score: 11.63 | Status: 흐림
Time: 216.50s | Status: 얼굴 미검출
Time: 217.00s | Status: 얼굴 미검출
Time: 217.50s | Status: 얼굴 미검출
Time: 218.00s | Status: 얼굴 미검출
Time: 218.50s | Status: 얼굴 미검출
Time: 219.00s | Score: 21.79 | Status: 흐림
Time: 219.50s | Score: 51.68 | Status: 선명
Time: 220.00s | Score: 64.42 | Status: 선명
Time: 220.50s | Status: 얼굴 미검출
Time: 221.00s | Score: 53.56 | Status: 선명
Time: 221.50s | Score: 56.73 | Status: 선명
Time: 222.00s | Status: 얼굴 미검출
Time: 222.50s | Score: 35.20 | Status: 흐림
Time: 223.00s | Score: 43.42 | Status: 흐림
Time: 223.50s | Score: 44.58 | Status: 흐림
Time: 224.00s | Status: 얼굴 미검출
Time: 224.50s | Score: 33.65 | Status: 흐림
Time: 225.00s | Score: 39.96 | Status: 흐림
Time: 225.50s | Score: 27.35 | Status: 흐림
Time: 226.00s | Score: 37.34 | Status: 흐림
Time: 226.50s | Score: 42.64 | Status: 흐림
Time: 227.00s | Score: 40.02 | Status: 흐림
Time: 227.50s | Score: 34.74 | Status: 흐림
Time: 228.00s | Score: 30.95 | Status: 흐림
Time: 228.50s | Status: 얼굴 미검출
Time: 229.00s | Score: 8.10 | Status: 흐림
Time: 229.50s | Score: 14.51 | Status: 흐림
Time: 230.00s | Score: 25.05 | Status: 흐림
Time: 230.50s | Score: 31.16 | Status: 흐림
Time: 231.00s | Score: 34.79 | Status: 흐림
Time: 231.50s | Score: 31.09 | Status: 흐림
Time: 232.00s | Score: 17.85 | Status: 흐림
Time: 232.50s | Status: 얼굴 미검출
Time: 233.00s | Status: 얼굴 미검출
Time: 233.50s | Status: 얼굴 미검출
Time: 234.00s | Status: 얼굴 미검출
Time: 234.50s | Status: 얼굴 미검출
Time: 235.00s | Status: 얼굴 미검출
Time: 235.50s | Status: 얼굴 미검출
